0,1,6,12,17,19,23,28,31,33,35,
0,5,9,14,18,20,24,25,29,34,38,
0,4,8,11,16,17,19,20,24,30,33,
0,4,6,8,14,17,21,23,28,30,31,
0,4,8,14,18,19,20,22,26,30,34,
0,5,8,9,11,16,21,25,28,30,31,
0,6,10,13,17,23,24,26,29,31,33,
0,5,10,15,18,23,26,30,35,40,46,
0,2,7,12,15,21,26,29,34,38,39,
0,2,4,6,7,8,11,14,20,23,24,
0,6,12,14,18,21,22,27,31,34,39,
0,4,8,12,15,16,20,23,27,28,33,
0,3,6,9,15,21,22,26,27,31,34,
0,5,11,13,18,24,26,27,32,38,39,
0,1,4,5,9,11,14,18,24,28,30,
0,1,6,7,12,14,18,23,28,32,35,
0,3,7,10,15,18,19,24,30,35,41,
0,3,8,13,19,21,22,23,28,34,36,
0,4,5,8,12,17,19,23,24,26,30,
0,1,3,4,7,13,18,19,25,26,32,
0,5,8,11,12,18,24,27,29,35,38,
0,6,10,14,15,19,21,25,31,33,34,
0,2,7,8,9,14,19,24,30,31,35,
0,6,9,10,12,17,21,26,28,31,37,
0,6,10,15,17,22,26,27,32,35,40,
0,5,7,11,13,17,21,23,24,30,36,
0,3,8,13,16,18,21,24,27,31,34,
0,5,6,12,16,20,24,27,32,36,40,
0,4,9,13,15,20,23,24,28,32,33,
0,6,12,18,21,26,32,33,35,41,44,
0,6,11,13,14,16,19,22,27,32,33,
0,3,5,7,12,18,20,23,24,30,32,
0,5,6,11,14,17,19,25,27,31,32,
0,1,3,6,9,14,17,19,25,26,28,
0,6,10,13,14,18,21,23,25,31,32,
0,5,11,15,17,21,25,30,32,38,43,
0,2,6,12,17,20,24,29,31,35,41,
0,3,7,8,9,10,16,21,24,26,28,
0,1,5,10,15,20,25,26,31,37,43,
0,5,10,16,21,23,27,30,36,41,43,
0,4,6,7,8,10,15,20,22,26,28,
0,4,10,15,18,21,27,30,31,37,40,
0,5,9,11,12,16,20,22,24,25,27,
0,1,2,6,7,10,11,16,21,24,27,
0,4,5,8,14,15,18,22,26,31,34,
0,5,9,10,12,18,23,25,28,33,34,
0,3,6,9,14,15,18,22,23,25,30,
0,5,8,12,15,20,26,28,34,39,44,
0,5,6,11,13,17,22,25,28,29,34,
0,4,7,8,14,17,19,23,26,27,31,
